x,y,z
4.286609888076782227e-01,2.947910130023956299e-01,-1.930000074207782745e-02
3.969509899616241455e-01,2.794750034809112549e-01,9.882999584078788757e-03
4.409010112285614014e-01,2.882750034332275391e-01,-1.238000113517045975e-03
4.334439933300018311e-01,2.924059927463531494e-01,-1.953599974513053894e-02
4.184159934520721436e-01,2.761729955673217773e-01,-1.879400014877319336e-02
4.045790135860443115e-01,2.672660052776336670e-01,9.301999583840370178e-03
4.355500042438507080e-01,2.721120119094848633e-01,6.940999999642372131e-03
4.006940126419067383e-01,2.667950093746185303e-01,9.597999975085258484e-03
4.255790114402770996e-01,2.658280134201049805e-01,7.701000198721885681e-03
4.093509912490844727e-01,2.710619866847991943e-01,-1.834700070321559906e-02
4.484100043773651123e-01,2.840769886970520020e-01,1.211000140756368637e-03
3.794369995594024658e-01,3.226389884948730469e-01,-8.326999843120574951e-03
4.028150141239166260e-01,2.684679925441741943e-01,-1.802399940788745880e-02
4.157159924507141113e-01,2.606750130653381348e-01,8.453000336885452271e-03
3.768300116062164307e-01,3.118349909782409668e-01,-1.680099964141845703e-02
4.210329949855804443e-01,2.658610045909881592e-01,-1.892299950122833252e-02
3.743239939212799072e-01,3.254959881305694580e-01,2.337000099942088127e-03
3.731209933757781982e-01,3.261680006980895996e-01,1.103399973362684250e-02
3.714070022106170654e-01,3.138180077075958252e-01,-1.656600087881088257e-02
3.697820007801055908e-01,3.078860044479370117e-01,-1.649500057101249695e-02
3.935720026493072510e-01,2.633740007877349854e-01,-1.756699942052364349e-02
4.534800052642822266e-01,2.734879851341247559e-01,5.574000068008899689e-03
-3.099820017814636230e-01,-7.088569998741149902e-01,3.075740039348602295e-01
-3.045090138912200928e-01,-7.135630249977111816e-01,3.075740039348602295e-01
-3.026359975337982178e-01,-7.231609821319580078e-01,3.051809966564178467e-01
-2.924169898033142090e-01,-7.119899988174438477e-01,3.075740039348602295e-01
-3.087390065193176270e-01,-7.267270088195800781e-01,3.057880103588104248e-01
-2.974289953708648682e-01,-7.247819900512695312e-01,3.075740039348602295e-01
-2.936759889125823975e-01,-6.961709856986999512e-01,3.075740039348602295e-01
-2.891719937324523926e-01,-7.034850120544433594e-01,3.038409948348999023e-01
-2.956089973449707031e-01,-6.916270256042480469e-01,3.044809997081756592e-01
-2.966350018978118896e-01,-6.891940236091613770e-01,3.056760132312774658e-01
-2.900330126285552979e-01,-7.222120165824890137e-01,3.039259910583496094e-01
-2.855120003223419189e-01,-6.985359787940979004e-01,3.075740039348602295e-01
-2.772519886493682861e-01,-7.153000235557556152e-01,3.026539981365203857e-01
-2.805419862270355225e-01,-6.820510029792785645e-01,3.075740039348602295e-01
-3.041850030422210693e-01,-7.496259808540344238e-01,3.053349852561950684e-01
-2.719720005989074707e-01,-6.916400194168090820e-01,3.075740039348602295e-01
-3.035309910774230957e-01,-7.501670122146606445e-01,3.052699863910675049e-01
-3.113470077514648438e-01,-7.539209723472595215e-01,3.053439855575561523e-01
-2.616319954395294189e-01,-6.956040263175964355e-01,3.075740039348602295e-01
-2.817319929599761963e-01,-7.504100203514099121e-01,3.030999898910522461e-01
-2.576200067996978760e-01,-7.145689725875854492e-01,3.007000088691711426e-01
